Periodo,nom_aglomerado,Nivel_Educativo,Tasa_Actividad,Tasa_Empleo,Tasa_Desocupacion,Ingreso_Medio_Real
2017-T4,Gran Salta,Secundaria Completa,71.51,65.24,8.77,860134.94
2017-T4,Gran Salta,Secundaria Incompleta,47.4,41.87,11.66,664082.6
2017-T4,Gran Salta,Sin Instrucción,0.63,0.63,0.0,536738.16
2017-T4,Gran Salta,Superior Completa,82.8,79.13,4.44,1705477.67
2017-T4,Gran Salta,Superior Incompleta,63.51,57.76,9.05,928338.65
2017-T4,Gran Tucumán - Tafí Viejo,Primaria Completa,57.27,54.97,4.02,659698.65
2017-T4,Gran Tucumán - Tafí Viejo,Primaria Incompleta,13.3,11.71,11.99,493538.4
2017-T4,Gran Tucumán - Tafí Viejo,Secundaria Completa,65.59,61.73,5.89,949823.96
2017-T4,Gran Tucumán - Tafí Viejo,Secundaria Incompleta,33.1,30.59,7.57,767146.13
2017-T4,Gran Tucumán - Tafí Viejo,Sin Instrucción,0.49,0.49,0.0,282600.77
2017-T4,Gran Tucumán - Tafí Viejo,Superior Completa,79.04,75.41,4.6,1404727.04
2017-T4,Gran Tucumán - Tafí Viejo,Superior Incompleta,50.78,48.31,4.85,869449.04
2018-T1,Gran Salta,Primaria Completa,49.11,44.91,8.54,624653.36
2018-T1,Gran Salta,Primaria Incompleta,9.3,8.18,12.04,416401.59
2018-T1,Gran Salta,Secundaria Completa,73.7,67.92,7.85,978243.56
2018-T1,Gran Salta,Secundaria Incompleta,43.54,39.21,9.93,700191.96
2018-T1,Gran Salta,Sin Instrucción,0.38,0.38,0.0,7556.91
2018-T1,Gran Salta,Superior Completa,83.26,78.47,5.75,1468229.72
2018-T1,Gran Salta,Superior Incompleta,61.14,53.68,12.21,850657.49
2018-T1,Gran Tucumán - Tafí Viejo,Primaria Completa,53.73,50.05,6.85,668580.79
2018-T1,Gran Tucumán - Tafí Viejo,Primaria Incompleta,12.18,10.84,11.0,551636.12
2018-T1,Gran Tucumán - Tafí Viejo,Secundaria Completa,63.48,57.12,10.02,948715.04
2018-T1,Gran Tucumán - Tafí Viejo,Secundaria Incompleta,30.19,27.6,8.57,671691.13
2018-T1,Gran Tucumán - Tafí Viejo,Sin Instrucción,1.66,0.86,48.4,308820.65
2018-T1,Gran Tucumán - Tafí Viejo,Superior Completa,75.04,70.84,5.59,1405337.05
2018-T1,Gran Tucumán - Tafí Viejo,Superior Incompleta,48.76,47.0,3.61,927198.55
2018-T2,Gran Salta,Primaria Completa,51.39,47.37,7.83,596021.89
2018-T2,Gran Salta,Primaria Incompleta,11.88,9.98,15.94,400856.99
2018-T2,Gran Salta,Secundaria Completa,71.3,65.45,8.2,845003.08
2018-T2,Gran Salta,Secundaria Incompleta,41.52,36.52,12.04,653970.64
2018-T2,Gran Salta,Sin Instrucción,0.32,0.32,0.0,168131.05
2018-T2,Gran Salta,Superior Completa,81.71,76.59,6.26,1593897.54
2018-T2,Gran Salta,Superior Incompleta,59.06,50.53,14.45,919541.64
2018-T2,Gran Tucumán - Tafí Viejo,Primaria Completa,52.69,49.53,5.99,688742.22
2018-T2,Gran Tucumán - Tafí Viejo,Primaria Incompleta,15.45,14.86,3.78,478201.23
2018-T2,Gran Tucumán - Tafí Viejo,Secundaria Completa,67.62,59.62,11.82,892666.07
2018-T2,Gran Tucumán - Tafí Viejo,Secundaria Incompleta,39.49,34.82,11.82,772834.0
2018-T2,Gran Tucumán - Tafí Viejo,Sin Instrucción,1.58,1.58,0.0,258451.22
2018-T2,Gran Tucumán - Tafí Viejo,Superior Completa,75.85,72.33,4.64,1557190.24
2018-T2,Gran Tucumán - Tafí Viejo,Superior Incompleta,47.07,42.02,10.74,813937.99
2018-T3,Gran Salta,Primaria Completa,55.29,49.74,10.03,505514.89
2018-T3,Gran Salta,Primaria Incompleta,9.95,9.95,0.0,399733.75
2018-T3,Gran Salta,Secundaria Completa,72.13,65.35,9.39,701946.46
2018-T3,Gran Salta,Secundaria Incompleta,42.7,38.94,8.81,606591.93
2018-T3,Gran Salta,Sin Instrucción,1.02,1.02,0.0,836841.5
2018-T3,Gran Salta,Superior Completa,82.7,77.93,5.77,1496419.61
2018-T3,Gran Salta,Superior Incompleta,63.11,55.01,12.83,807817.13
2018-T3,Gran Tucumán - Tafí Viejo,Primaria Completa,54.47,51.67,5.15,602722.6
2018-T3,Gran Tucumán - Tafí Viejo,Primaria Incompleta,15.74,15.47,1.73,521938.66
2018-T3,Gran Tucumán - Tafí Viejo,Secundaria Completa,63.51,58.56,7.8,855889.84
2018-T3,Gran Tucumán - Tafí Viejo,Secundaria Incompleta,38.0,33.26,12.48,722401.77
2018-T3,Gran Tucumán - Tafí Viejo,Sin Instrucción,0.43,0.43,0.0,94251.77
2018-T3,Gran Tucumán - Tafí Viejo,Superior Completa,78.96,75.92,3.85,1295971.01
2018-T3,Gran Tucumán - Tafí Viejo,Superior Incompleta,49.99,45.97,8.03,808170.47
2018-T4,Gran Salta,Primaria Completa,54.46,51.07,6.22,544484.38
2018-T4,Gran Salta,Primaria Incompleta,8.29,8.29,0.0,298661.09
2018-T4,Gran Salta,Secundaria Completa,70.93,64.82,8.61,733953.85
2018-T4,Gran Salta,Secundaria Incompleta,48.62,44.15,9.19,498085.81
2018-T4,Gran Salta,Sin Instrucción,0.67,0.67,0.0,71103.46
2018-T4,Gran Salta,Superior Completa,79.32,76.41,3.67,1456634.34
2018-T4,Gran Salta,Superior Incompleta,64.26,54.09,15.82,729758.57
2018-T4,Gran Tucumán - Tafí Viejo,Primaria Completa,52.2,49.21,5.73,567175.85
2018-T4,Gran Tucumán - Tafí Viejo,Primaria Incompleta,13.63,13.04,4.37,508383.26
2018-T4,Gran Tucumán - Tafí Viejo,Secundaria Completa,69.35,64.31,7.26,809450.54
2018-T4,Gran Tucumán - Tafí Viejo,Secundaria Incompleta,34.51,29.9,13.37,581684.0
2018-T4,Gran Tucumán - Tafí Viejo,Sin Instrucción,0.38,0.0,100.0,0.0
2018-T4,Gran Tucumán - Tafí Viejo,Superior Completa,81.15,78.54,3.22,1194084.08
2018-T4,Gran Tucumán - Tafí Viejo,Superior Incompleta,54.26,48.08,11.4,789130.35
2019-T1,Gran Salta,Primaria Completa,43.75,40.18,8.17,465432.14
2019-T1,Gran Salta,Primaria Incompleta,7.45,7.22,3.12,424946.48
2019-T1,Gran Salta,Secundaria Completa,74.42,68.8,7.55,754480.45
2019-T1,Gran Salta,Secundaria Incompleta,42.64,36.84,13.6,490605.46
2019-T1,Gran Salta,Sin Instrucción,0.75,0.75,0.0,149329.49
2019-T1,Gran Salta,Superior Completa,82.79,78.01,5.77,1481809.43
2019-T1,Gran Salta,Superior Incompleta,58.52,50.25,14.13,667903.94
2019-T1,Gran Tucumán - Tafí Viejo,Primaria Completa,53.65,47.46,11.54,560780.23
